Prime,Next Prime,Prime Gap,(log p)^2,Gap / (log p)^2
2,3,1,0.4804530139182014,2.0813689810056077
3,5,2,1.206948960812582,1.657070899380446
5,7,2,2.5902903939802346,0.7721142018083943
7,11,4,3.7865663081964716,1.0563660251615101
11,13,2,5.749901739308773,0.3478320309940516
13,17,4,6.5789652063423505,0.607998351495135
17,19,2,8.027097852938207,0.24915605074727326
19,23,4,8.669720902034708,0.46137586725095553
23,29,6,9.831323978125154,0.610294199779205
29,31,2,11.338681206644297,0.17638735612639236
31,37,6,11.79226812056771,0.5088079696504683
37,41,4,13.038728171854922,0.3067783872229426
41,43,2,13.790617494606504,0.14502613829889763
43,47,4,14.146626310293268,0.2827529272537261
47,53,6,14.823636554953715,0.40475897919899684
53,59,6,15.76321787881737,0.3806329422156124
59,61,2,16.62631160645319,0.12029126166646231
61,67,6,16.899283927143212,0.3550446294569291
67,71,4,17.67944002356086,0.22625150992731216
71,73,2,18.170439734132966,0.11006888271630667
73,79,6,18.408042216139364,0.3259444936919725
79,83,4,19.092074535428665,0.2095110194849336
83,89,6,19.52615231711221,0.3072802005514295
89,97,8,20.14785645968212,0.3970645719066344
97,101,4,20.927980536839378,0.19113167622450852
101,103,2,21.299337384969135,0.0938996347093592
103,107,4,21.480712794336103,0.1862135599641132
107,109,2,21.835329316178612,0.0915946799354258
109,113,4,22.00874495209587,0.18174593820349053
113,127,14,22.348195588509824,0.6264487861918484
127,131,4,23.466148528612173,0.1704583091308238
131,137,6,23.76754894014767,0.2524450466099565
137,139,2,24.206212310512576,0.08262341808558851
139,149,10,24.349032996746278,0.41069392781784325
149,151,2,25.039478632785208,0.07987386755654403
151,157,6,25.173096960909593,0.23834969568175052
157,163,6,25.565621644102357,0.23469016648707694
163,167,4,25.946291108218933,0.1541646157948537
167,173,6,26.193860663936196,0.22906130856307189
173,179,6,26.556414257921464,0.22593411677219455
179,181,2,26.908971498638138,0.07432465414373864
181,191,10,27.024371384079608,0.37003635932457335
191,193,2,27.586376162964697,0.07249955514943797
193,197,4,27.69590802439574,0.1444256673757231
197,199,2,27.912241639350984,0.0716531486736765
199,211,12,28.019075967451588,0.42827964826319836
211,223,12,28.642385480853928,0.4189595174613312
223,227,4,29.237506566075158,0.13681057209718686
227,229,2,29.430082692171474,0.06795767517608806
229,233,4,29.525334811909502,0.13547687182827603
233,239,6,29.71382022225194,0.20192624021823857
239,241,2,29.9916530356343,0.06668522063867967
241,251,10,30.08299740162849,0.33241368426467593
251,257,6,30.530630182560063,0.19652394870733345
257,263,6,30.792245395956062,0.1948542538176829
263,269,6,31.048900558314923,0.19324355748864655
269,271,2,31.300795421046313,0.06389613979762386
271,277,6,31.383735283254573,0.19118183179429957
277,281,4,31.62957290990165,0.12646392701520792
281,283,2,31.79104337719765,0.06291080089037009
283,293,10,31.871070674109657,0.3137641688367709
293,307,14,32.26436086822776,0.4339153054101394
307,311,4,32.79678512404455,0.12196317367300281
311,313,2,32.94522267470297,0.06070682902185095
313,317,4,33.018851106973834,0.12114291884477983
317,331,14,33.164949641166885,0.42213240639515776
331,337,6,33.664577641888165,0.17822888092718323
337,347,10,33.87336531617893,0.2952171981336528
347,349,2,34.21460038130037,0.05845457721882612
349,353,4,34.28186721416322,0.1166797588652767
353,359,6,34.41544746301873,0.17434031640725656
359,367,8,34.61348232688742,0.23112381252046624
367,373,6,34.873298556458494,0.1720514046093528
373,379,6,35.06509097999135,0.1711103502746845
379,383,4,35.254336186664624,0.11346122016936595
383,389,6,35.3791202325172,0.16959155458267605
389,397,8,35.564278587632614,0.2249448131019303
397,401,4,35.80749341132445,0.11170846152372572
401,409,8,35.927573592039,0.22267020007643035
409,419,10,36.1647699780189,0.27651219698281065
419,421,2,36.4558852456414,0.0548608266271388
421,431,10,36.51341156269636,0.2738719712023957
431,433,2,36.79766736082213,0.054351271247409745
433,439,6,36.85385656219283,0.16280521388242455
439,443,4,37.0211331077121,0.1080463957805423
443,449,6,37.13159254240793,0.16158746741463917
449,457,8,37.29572855140775,0.21450177569189852
457,461,4,37.511746638695335,0.10663326446851691
461,463,2,37.61857155383512,0.05316522976258797
463,467,4,37.67169339046208,0.10618052017307884
467,479,12,37.7773633436767,0.3176505435498743
479,487,8,38.08988826408224,0.21002949508633212
487,491,4,38.29461285703113,0.10445333433539529
491,499,8,38.395919828879194,0.20835547203072505
499,503,4,38.59647450096893,0.10363640855072355
503,509,6,38.6957420643415,0.15505581957889517
509,521,12,38.84340827900454,0.308932725825869
521,523,2,39.13440858489725,0.05110592116554535
523,541,18,39.18236010526517,0.4593903979148319
541,547,6,39.607126219356566,0.15148789050662592
547,557,10,39.746074702359955,0.2515971721707211
557,563,6,39.97483121313676,0.1500944423757378
563,569,6,40.11043084820922,0.1495870244502217
569,571,2,40.24481896249088,0.0496958379130503
571,577,6,40.289349778857556,0.1489227310178282
577,587,10,40.422158285796854,0.24738906639514355
587,593,6,40.640941453424254,0.14763437522421033
593,599,6,40.770707512991926,0.14716448072646396
599,601,2,40.89937090833017,0.048900507650415974
601,607,6,40.942017136259615,0.14654871497980493
607,613,6,41.069241265838514,0.14609473696293515
613,617,4,41.19540845085545,0.09709819978534373
617,619,2,41.27894197433898,0.04845085422110137
619,631,12,41.32053739671551,0.2904124862846982
631,641,10,41.56775288515829,0.24057109913128083
641,643,2,41.77074976102429,0.047880395047784664
643,647,4,41.811027594786,0.09566854081574441
647,653,6,41.891266555939545,0.14322794446875683
653,659,6,42.010842082759304,0.1428202745419931
659,661,2,42.12949200134472,0.04747268255539759
661,673,12,42.168838932588514,0.2845703202590735
673,677,4,42.402827238149925,0.09433333248121697
677,683,6,42.480038821745914,0.1412428087737186
683,691,8,42.59513515200395,0.18781487537136335
691,701,10,42.747272355136744,0.23393305465017222
701,709,8,42.93535960965051,0.18632660987895516
709,719,10,43.08419937318635,0.2321036515819195
719,727,8,43.26826004139978,0.18489303688998515
727,733,6,43.41395212634227,0.1382044183063302
733,739,6,43.52233141192151,0.13786026174040156
739,743,4,43.629960624482635,0.09168011941215068
743,751,8,43.701302195647024,0.18306090661062405
751,757,6,43.84301280521402,0.13685190902953756
757,761,4,43.948457146026755,0.091015709304863
761,769,8,44.01835979325103,0.18174234654755522
769,773,4,44.15723399300546,0.09058538405357552
773,787,14,44.22621142408083,0.31655435881123445
